data,label_clusters
แก้ประมวลกฎหมายแพ่งและพาณิชย์ให้คนเพศเดียวกันแต่งงานกันได้,5
"จัดตั้ง 1,000,000 บาทต่อชุมชนเปลี่ยนชีวิตคนกทม.",5
"จัดตั้งกองทุนกู้ยืมเพื่อ Smart SME 10,000 ล้านบาท เพื่อให้ผู้ประกอบการ SME",5
"จัดตั้งกองทุนพัฒนานักกีฬาอาชีพ 2,000 ล้านบาท",5
"จัดตั้งกองทุนส่งเสริมดิจิทัล Start Up 5,000 ล้านบาท",5
ทำทุ่งกุลาร้องไห้ 2.1 ล้านไร่ ใน 5 จังหวัด ให้เป็น “เขตเศรษฐกิจพิเศษทุ่งกุลา”,5
"ประกันรายได้แรงงาน 120,000 บาทต่อปี หากมีต่ำกว่า รัฐโอนเงินให้",5
เปิดศูนย์กลางการเงินของโลกรวมรายได้มากมายมหาศาลกว่า 18 ล้านล้านบาทต่อปี เป็น “รัฐสวัสดิการ”,5
เพิ่มนักท่องเที่ยวเป็น 50 ล้านคน สร้างรายได้ 3 ล้านล้านบาทต่อปี,5
เพิ่มวันลาคลอดเป็น 180 วัน,5
เพิ่มหลักสูตรบริการสังคม เป็นทางเลือกสำหรับนักเรียน นอกจากการเรียน ร.ด.,5
ยกเลิกวีซ่า (visa) ให้กับนักท่องเที่ยวจีน,5
ยกเลิกสวนป่า เปลี่ยนสปก. เป็นโฉนด เพิ่มมูลค่าให้ประชาชน,5
ลดต้นทุนการเกษตร เพื่อเพิ่มรายได้ให้เกษตรกร,5
สร้างกองทุนคนเปลี่ยนงานเพิ่มทักษะให้แรงงานถูกเลิกจ้าง,5
"LGBT สิทธิต้องเท่าเทียม

",6
การวางผังเมืองใหม่ให้กลายเป็น Green and Clean City,6
แก้กฎหมายที่เป็นอุปสรรค sharing economy (ทำ Grab ให้ถูกกฎหมาย),6
แก้ไขปัญหาความยากจน หนี้สิน ความเหลื่อมล้ำทั้งด้านเศรษฐกิจ สิทธิเสรีภาพ กฎหมาย ศักดิ์ศรีและเชิงพื้นที่ ขจัดการทุจริต,6
แก้ปัญหาชาวสวนยาง 3 แสนครัวเรือนไม่มีเอกสารสิทธิ์,6
แก้ปัญหาฝุ่น PM 2.5 ภายใต้ 3 ปี / ลดภาษีนำเข้าหน้ากากอนามัยเป็น 0%,6
คุณภาพชีวิตดี รักษาฟรี ทุกที่ ทุกโรค,6
จัดตั้ง คกก.บริหารจัดการที่อยู่อาศัยฯ,6
จัดสร้างศูนย์ส่งเสริมธุรกิจ Startup และ SME แบบครบวงจรเพื่อคนรุ่นใหม่,6
จัดให้มี Mini Sport Complex ในทุกอำเภอเพื่อการออกกำลังกายและฝึกทักษะด้านกีฬา,6
เชื่อมโยงข้อมูลรัฐกับประชาชน ด้วย Single Digital ID,6
ใช้โมเดล EEC ทำอีสาน 4.0 ล้านนา 4.0 ปลายด้านขวาน 4.0 กรุงเทพ 5.0,6
ซัตดาวน์ยาเสพติด จับจริง ลุยจริงให้หมดไปภายใน 1 ปี,6
ดำเนินการด้วยความเปิดเผย โปร่งใส ตรงไปตรงมา,6
"ตั้งกองทุนหมู่บ้าน ๆ ละ 3,000,000 พร้อมต่อยอด OTOP",6
ทำให้ราคาสินค้าเกษตร เพิ่ม 30% ภายใน 6 เดือน,6
นมฟรี พัฒนาความสูง การเรียนรู้ของเด็กไทย,6
"น้อมนำคำสอน ""พระพุทธเจ้า"" มาปฏิบัติ",6
นำ Buriram Model มาใช้พัฒนาการท่องเที่ยวในจังหวัดอื่น,6
นำระบบ profit sharing มาใช้กับพืชเศรษฐกิจ ข้าว ยาง และมันสำปะหลัง,6
เน้นนโยบายการออมเงิน ตั้งแต่แรกเกิดจนอายุ 20 ปี,6
"เน้นบริการปฐมภูมิ Primary Care มีหมอประจำครอบครัว 6,500 ทีม ใน 10 ปี",6
"บัตรประชาชนมีมูลค่า 60,000 บาท สามารถนำมาประกันตัว ในชั้นสอบสวนและชั้นศาลได้",6
ปกป้องสถาบันชาติ ศาสนา พระมหากษัตริย์ ไม่ให้ถูกรังแก,6
ประกันรายได้ปาล์ม กิโลกรัมละ 4 บาท ครัวเรือนละ 25 กิโลกรัม,6
ประกันรายได้ยาง กิโลกรัมละ 60 บาท ครัวเรือนละ 25 กิโลกรัม,6
ประกาศให้ประเทศไทยเป็นเมืองสินค้าปลอดภาษีอันดับ 1 ของโลก,6
ปลดหนี้เกษตรกร ที่มีปัญหาสังคม ชรา ทุพพลภาพ พิการ,6
เปิดสถานบันเทิงครบวงจร เช่น ลาสเวกัส,6
ผลักดันใช้น้ำมัน ดีเซล B10 B20 และ B100 ให้มากขึ้น,6
"ผลักดันใช้ยางในประเทศ 20% ปีละ 1,000,000 ตัน",6
ผลักดันธุรกิจ MICE,6
พัฒนา 30 เมืองน่าอยู่ใกล้ๆ บ้าน,6
เพิ่มนักโภชนาการ 1 คน ต่อ 1 เขต การศึกษา,6
เพิ่มสิทธิเยาวชน ลดอายุบรรลุนิติภาวะ-สมัคร ส.ส.ได้ เหลือ 18 ปี,6
เพิ่มหลักสูตรการเรียนการสอนแบบ 2 ภาษา (เด็กไทย 2 ภาษา),6
ม.6/ปวส. เรียนฟรี,6
ยกเลิกการเก็บภาษีรถยนต์บรรทุก (ปิ๊กอัพ ขนาด 1 ตัน) ประจำปี เป็นการถาวร,6
เร่งรัดการจัดสรรงบประมาณ 35% ของรายได้ให้กับท้องถิ่นภายใน 1 ปี,6
ลดจำนวนนายพล เหลือ 1/4,6
วิสาหกิจชุมชน OTOP นำไปปรับปรุงกิจการให้ทันสมัยโดยไม่คิดดอกเบี้ย จาก OTOP สู่ i-OTOP,6
ส่งเสริมตั้งโรงงานผลิตเชื้อเพลิงจากขยะ ในเมืองใหญ่ๆ ภูเก็ต เชียงใหม่ กระบี่,6
ส่งเสริมให้ภาคเอกชนจ้างผู้สูงอายุทำงานและนำค่าจ้างมาลดหย่อนภาษีได้ 2 เท่า,6
สร้าง co-working space ใน กทม. 1 แขวง 1 ที่ ไม่คิดค่าใช้จ่าย ไวไฟฟรี,6
สร้าง Mini Fitness ทุกหมู่บ้านเพื่อให้ประชาชนได้ออกกำลังกาย,6
สร้างกองทัพ Startup,6
สร้างความเข้าใจแก่เกษตรกรไม่ให้เสียเปรียบนายทุน,6
สร้างเถ้าแก่น้อยในวัยเรียน จัดหลักสูตรตามถนัด สร้างอาชีพในวัยเรียน,6
สร้างโรงพยาบาลประกันสังคม ประจำจังหวัดครบ 77 จังหวัดทั่วประเทศ,6
สร้างศูนย์กลาง logistic,6
"สร้างศูนย์เลี้ยงเด็ก 20,000 โรง ทั่วประเทศ",6
"สร้างอาคารรักษาพยาบาลเพิ่ม 100,000 เตียง",6
สิทธิลาคลอดมารดา 6 เดือน บิดา 1 เดือน โดยได้รับเงินชดเชยค่าจ้าง,6
หยุดกองทัพ ซื้ออาวุธ 10 ปี,6
ให้ก่อสร้าง 5 วัน หยุด 2 วัน,6
ให้ประเทศไทยเป็นเจ้าภาพในการจัดการแข่งขันกีฬาระดับโลก เช่น กีฬาโอลิมปิก กีฬาเอเชี่ยนเกมส์ และกีฬาซีเกมส์,6
"ให้ผู้สูงอายุกู้ยืมเงินได้ 5,000 - 25,000 บาท เมื่อสมทบเงินเข้ากองทุนตามกำหนด",6
ให้ผู้เสพเข้ารับการบำบัด ไม่มีประวัติอาชญากรรม,6
"ให้สิทธิ์ในการนำค่ารักษาพยาบาลของผู้สูงอายุหรือบิดามารดา มาลดหย่อนภาษีได้เป็นจำนวนเงินไม่เกิน 60,000 บาท",6
จัดตั้งกองทุนบำนาญประชาชน,7
บัตรคนดีปลดหนี้ประชาชน ทำดีได้เงิน,7
ประชาชนใหญ่กว่านักการเมือง ให้ประชาชนมีอำนาจตรวจสอบ,7
เปลี่ยนรถยนต์ไปใช้ไฟฟ้าทั้งหมดภายใน 4 ปี,7
พักชำระหนี้ประชาชนและครูเป็นเวลา 4 ปี,7
เลิกใช้พลาสติกใน 4 ปี,7
สนับสนุนให้ชุมชนและประชาชนทั่วไปสร้างโรงไฟฟ้าจากพลังงานทดแทน,7
ก้าวข้ามความขัดแย้ง เปลี่ยนแปลงปฏิรูปแผ่นดิน,8
"จัดตั้ง ""สภาประชาชนปฏิรูปจังหวัด"" ทั้ง 77 จังหวัด",8
นิรโทษกรรมนักธุรกิจเก่าด้วยการทบทวนปลดเครดิตบูโร,8
ปฏิรูปเครดิตบูโร,8
ปฏิรูปรถสาธารณะทั้งระบบ,8
ล้างหนี้บัตรเครดิตบูโร,8
หยุดเผด็จการ ปฏิรูปทหาร,8
แก้ปัญหาของชาติด้วยวิถีทางประชาธิปไตยที่ธำรงไว้ซึ่งหลักนิติธรรม,9
คูปองเพิ่มทักษะสำหรับผู้ใหญ่,9
จัดหาพัฒนาพื้นที่ให้หาบเร่แผงลอย สู่อาชีพที่มั่นคง,9
แบ่งกำไรขายข้าว 75% ให้ชาวนา 25% ให้โรงสี,9
เปิดประเทศ 24 ชั่วโมง,9
พื้นที่ป่าสงวนแห่งชาติที่ราษฎรยากจนถูกจับให้ยุติคดี,9
เพิ่มป่าไม้ของประเทศจากการปลูกต้นไม้เพื่อสู้ภาวะโลกร้อน,9
เพิ่มพื้นที่ป่าไม้ให้ได้ 40% ของพื้นที่ประเทศ,9
เพิ่มโอกาสทำมาหากินของทุกคนทุกพื้นที่ด้วยเทคโนโลยีดิจิทัล โดยต่อยอดจากตลาดท้องถิ่นสู่ตลาดสากล,9
มีสำนักงานตำรวจที่ขึ้นกับจังหวัดและประชาชนในพื้นที่,9
กระจายอำนาจอธิปไตยให้ชุมชนท้องถิ่น,10
"จัดตั้งเขตพัฒนาเศรษฐกิจพิเศษสามจังหวัดชายแดนภาคใต้ 
(เขตพัฒนาเศรษฐกิจพิเศษสินค้าฮาลาล)",10
จัดให้ทุกชุมชนและท้องถิ่นได้เรียนฟรีหลายภาษา,10
ทำจังหวัดชายแดนภาคใต้ให้เป็นเขตพัฒนาพิเศษ,10
เพิ่มพลังองค์กรท้องถิ่น พัฒนาสังคมจากฐานราก,10
เพิ่มรากแก้วประเทศไทย สร้างองค์กรปกครองท้องถิ่นรูปแบบพิเศษ,10
ยกฐานะทุกจังหวัดเป็นองค์กรปกครองท้องถิ่นรูปแบบพิเศษ,10
ยึดมั่นประชาธิปไตย ตัดสินใจโดยท้องถิ่น,10
สร้างศูนย์บำบัดยาเสพติดมีคุณภาพ ทุกจังหวัด,10
ให้น้ำเข้าถึงทุกไร่นา,10
คืนครูให้นักเรียน,11
ปรับโครงสร้างการทำงานของกองทัพให้สั้น กระชับ และมีประสิทธิภาพ ขจัดความซ้ำซ้อน,11
ปรับโครงสร้างตำรวจ,11
ปรับโครงสร้างหนี้เกษตรกร ที่ยังมีศักยภาพ,11
ปรับโครงสร้างหนี้ครูทั่วประเทศ,11
พัฒนาสถาบันฝึกอาชีวะ 900 โรงทั่วประเทศ,11
"ยกระดับห้องเรียน-ห้องสมุด 17,000 โรงทั่วประเทศ",11
เกษตรกรมีที่ดินทำกินและเป็นเจ้าของกรรมสิทธิ์ในที่ดิน,12
"จัดสรรโดยนำที่ดินของรัฐ 1,000,000 ไร่ ให้เกษตรกร",12
จัดสรรที่ดินรัฐให้ประชาชนอยู่อาศัยและทำกิน,12
เดินหน้าธนาคารที่ดิน,12
ที่ดินกรรมสิทธิ์และที่ดินที่รัฐจัดสรรให้สามารถตัดต้นไม้ที่ปลูกได้,12
ธนาคารครู ธนาคารตำรวจ,12
ธนาคารครูไทย,12
ระงับข้อพิพาทที่ดิน ขีดเส้นป่าใหม่ นำป่าเสื่อมโทรมมาให้ชาวบ้านทำกิน,12
"ให้ท้องถิ่นตรวจสอบการทอดทิ้งที่ดิน เพื่อยึดเป็นของรัฐตามกฎหมายที่ดิน และจัดสรรที่ดินให้คนจนที่ยากไร้

",12
ออกเอกสารสิทธิในที่ดินกรรมสิทธิ์ พิสูจน์สิทธิ์ที่ดินกรณีโต้แย้งระหว่างรัฐกับราษฎร,12
